"NAICS","Industry Title","AIIE","Sector"
"7111","Performing Arts Companies","0.168","Consumer & Retail"
"7112","Spectator Sports","-0.258","Consumer & Retail"
"7113","Promoters of Performing Arts, Sports, and Similar Events","-0.193","Consumer & Retail"
"7114","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","1.911","Consumer & Retail"
"7115","Independent Artists, Writers, and Performers","0.609","Consumer & Retail"
"7121","Museums, Historical Sites, and Similar Institutions","0.381","Consumer & Retail"
"7131","Amusement Parks and Arcades","-0.534","Consumer & Retail"
"7132","Gambling Industries","-0.136","Consumer & Retail"
"7139","Other Amusement and Recreation Industries","-1.085","Consumer & Retail"
"7211","Traveler Accommodation","-0.903","Consumer & Retail"
"7212","RV (Recreational Vehicle) Parks and Recreational Camps","-0.405","Consumer & Retail"
"7213","Rooming and Boarding Houses","-1.051","Consumer & Retail"
"7223","Special Food Services","-1.061","Consumer & Retail"
"7224","Drinking Places (Alcoholic Beverages)","-0.999","Consumer & Retail"
"7225","Restaurants and Other Eating Places","-1.172","Consumer & Retail"
"8111","Automotive Repair and Maintenance","-1.094","Consumer & Retail"
"8112","Electronic and Precision Equipment Repair and Maintenance","0.107","Consumer & Retail"
"8113","Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance","-0.78","Consumer & Retail"
"8114","Personal and Household Goods Repair and Maintenance","-0.746","Consumer & Retail"
"8121","Personal Care Services","-0.475","Consumer & Retail"
"8122","Death Care Services","-0.316","Consumer & Retail"
"8123","Drycleaning and Laundry Services","-1.148","Consumer & Retail"
"8129","Other Personal Services","-0.77","Consumer & Retail"
"8131","Religious Organizations","0.966","Consumer & Retail"
"8132","Grantmaking and Giving Services","1.721","Consumer & Retail"
"8133","Social Advocacy Organizations","1.194","Consumer & Retail"
"8134","Civic and Social Organizations","-0.351","Consumer & Retail"
"8139","Business, Professional, Labor, Political, and Similar Organizations","1.36","Consumer & Retail"
"9991","Federal Executive Branch (OES Designation)","1.077","Infrastructure (General)"
"9992","State Government, excluding schools and hospitals (OES Designation)","0.748","Infrastructure (General)"
"9993","Local Government, excluding schools and hospitals (OES Designation)","-0.014","Infrastructure (General)"
